topic	topicName	score	term
0	T01	0.239	ja
0	T01	0.069	meade
0	T01	0.031	fisher
0	T01	0.029	depot
0	T01	0.028	amelia
0	T01	0.026	assignment
0	T01	0.024	invalid
0	T01	0.021	address
0	T01	0.019	dublin
0	T01	0.014	winston
0	T01	0.013	mccarthy
0	T01	0.012	mare
0	T01	0.012	appomattox
0	T01	0.012	baldwin
0	T01	0.012	taw
0	T01	0.011	immediate
0	T01	0.011	dunn
0	T01	0.010	extract
0	T01	0.009	totty
0	T01	0.008	shepherd
1	T02	0.058	hire
1	T02	0.050	wanted
1	T02	0.031	negroes
1	T02	0.030	cook
1	T02	0.028	house
1	T02	0.024	servant
1	T02	0.023	negro
1	T02	0.023	amp
1	T02	0.021	office
1	T02	0.020	woman
1	T02	0.016	washer
1	T02	0.016	sale
1	T02	0.015	street
1	T02	0.015	paid
1	T02	0.015	ironer
1	T02	0.015	st
1	T02	0.015	de
1	T02	0.014	servants
1	T02	0.013	bluff
1	T02	0.013	corner
2	T03	0.060	company
2	T03	0.035	service
2	T03	0.027	order
2	T03	0.027	officers
2	T03	0.021	capt
2	T03	0.021	orders
2	T03	0.021	regiment
2	T03	0.020	officer
2	T03	0.020	richmond
2	T03	0.019	va
2	T03	0.019	st
2	T03	0.017	companies
2	T03	0.016	duty
2	T03	0.015	camp
2	T03	0.015	lieut
2	T03	0.015	battalion
2	T03	0.014	commandants
2	T03	0.014	virginia
2	T03	0.013	artillery
2	T03	0.013	field
3	T04	0.065	reward
3	T04	0.043	dollars
3	T04	0.040	negro
3	T04	0.037	feet
3	T04	0.028	inches
3	T04	0.023	black
3	T04	0.023	richmond
3	T04	0.021	delivery
3	T04	0.020	jail
3	T04	0.020	hundred
3	T04	0.019	boy
3	T04	0.019	paid
3	T04	0.017	dark
3	T04	0.014	county
3	T04	0.013	color
3	T04	0.012	hair
3	T04	0.012	apprehension
3	T04	0.011	complexion
3	T04	0.011	pay
3	T04	0.010	brown
4	T05	0.036	worth
4	T05	0.033	gold
4	T05	0.023	reinforcements
4	T05	0.016	thieves
4	T05	0.015	robbed
4	T05	0.013	daylight
4	T05	0.010	stream
4	T05	0.009	humiliation
4	T05	0.009	stole
4	T05	0.008	pits
4	T05	0.008	informant
4	T05	0.008	open
4	T05	0.007	dresses
4	T05	0.007	marching
4	T05	0.007	depredations
4	T05	0.007	rich
4	T05	0.007	railroads
4	T05	0.007	price
4	T05	0.006	northern
4	T05	0.006	irish
5	T06	0.042	king
5	T06	0.034	dickinson
5	T06	0.031	county
5	T06	0.025	william
5	T06	0.024	powhatan
5	T06	0.023	communications
5	T06	0.023	george
5	T06	0.017	culpeper
5	T06	0.017	newbern
5	T06	0.016	halifax
5	T06	0.016	fourteenth
5	T06	0.015	spotsylvania
5	T06	0.013	va
5	T06	0.013	queen
5	T06	0.013	tallahassee
5	T06	0.012	james
5	T06	0.012	stafford
5	T06	0.012	richmond
5	T06	0.012	gloucester
5	T06	0.011	foster
6	T07	0.042	charged
6	T07	0.033	charge
6	T07	0.032	stealing
6	T07	0.026	slave
