	source	character
0		dana
1		dana
2		dana
3		misbah
4		misbah
5		nini randa
6		nyonya samijan
7		nyonya samijan
8		ozog
9		misbah
10		misbah
11		misbah
12		misbah
13		mono
14		mono
15		mono
16		mono
17		mono
18		nini randa
19		nini randa
20		nini randa
21		ozog
22		ozog
23		sadimin
24		sadimin
25		salamah
26		dana
27		misbah
28		nah
29		dana
30		dana
31		misbah
32		nah
33		nah
34		nah
35		nini randa
36		sadimin
37		salamah
38		mono
39		dana
40		karim
41		karim
42		karim
43		dana
44		nah
45		dana
46		mono
47		dana
48		karim
49		misbah
50		nini randa
51		karim
52		nah
53		nyai
54		
